Title,table
Regulated Navigational Areas,RegulatedNavAreas
Restricted Navigation Areas - USACE IENC,RestrictedNavAreas
River Areas - USACE IENC,RiverAreas
River Gauges - USACE IENC,RiverGauges
River Lines - USACE IENC,RiverLines
Roads - USACE IENC,Roads
Safety Zones,SafetyZones
Sea Areas Locations - USACE IENC,SeaAreaLocs
Sea Areas - USACE IENC,SeaAreas
Security Zones,SecurityZones
Shipping Fairways  ,ShippingFairways
Shoreline Construction Areas - USACE IENC,ShoreliConstrnAreas
Shoreline Construction Lines - USACE IENC,ShoreliConstrnLines
Shoreline Construction Locations - USACE IENC,ShoreliConstrnLocs
Sloped Ground Areas - USACE IENC,SlopedGroundAreas
Sloped Ground Lines - USACE IENC,SlopedGroundLines
Small Craft Facility Areas - USACE IENC,SmallCraftFacAreas
Small Craft Facility Locations - USACE IENC,SmallCraftFacLocs
Special Purpose Buoys - USACE IENC,SpecialPurposeBuoys
Storage Tank or Silo Areas - USACE IENC,StorageTankOrSiloAreas
Storage Tank or Silo Locations - USACE IENC,StorageTankOrSiloLocs
Submarine Cable Lines - USACE IENC,SubCableLines
Submarine Cables,SubCables
Submarine Pipeline Lines - USACE IENC,SubPipelineLines
Submarine Pipeline Locations - USACE IENC,SubPipelineLocs
Underwater Rocks - USACE IENC,UnderwaterRocks
U.S. Coast Guard (USCG) Captain of the Port Zones,USCG_CaptainOfThePortZones
U.S. Coast Guard (USCG) Maritime Differential GPS (DGPS) Locations,USCG_MartmDiff_GPS_DGPS_Locs
Wrecks - USACE IENC,Wrecks
Wrecks And Obstructions,WrecksAndObstructions
Air, Water and Solid Waste Management Plants,AirWaterSolidWasteMgmtPlants
Aquifers,Aquifers
Dam Lines,DamLines
Drinking Water Sources,DrinkingWaterSources
Drinking Water Treatment Plants,DrinkingWaterTreatmentPlants
Environmental Protection Agency (EPA) Facility Registry Service (FRS) Wastewater Treatment Plants,EPA_WasteWaterTreatmentPlants
NHD Area High Resolution,NHD_AreasHighReso
NHD Area Medium Resolution,NHD_AreasMediumReso
NHD Flowline High Resolution,NHD_FlowlinesHighReso
NHD Flowline Medium Resolution,NHD_FlowlinesMediumReso
NHD Line High Resolution,NHD_LinesHighReso
NHD Line Medium Resolution,NHD_LinesMediumReso
NHD Point Event,NHD_PointEvents
NHD Point High Resolution,NHD_PointsHighReso
NHD Point Medium Resolution,NHD_PointsMediumReso
NHD Waterbody High Resolution,NHD_WaterbodiesHighReso
NHD Waterbody Medium Resolution,NHD_WaterbodiesMediumReso
National Inventory of Dams (NID),NID
Oceans,Oceans
The Great Lakes,TheGreatLakes
U.S. Army Corps of Engineers (USACE) Inundation Areas,USACE_InundationAreas
U.S. Army Corps of Engineers (USACE) Owned and Operated Reservoirs,USACE_OwnedOperatedReservoirs
Water Boundary Areas,WaterBndryAreas
Watershed Boundary Areas,WatershedBndryAreas
Watershed Boundary Lines,WatershedBndryLines
